muestra,t,M 5A,DUT 30A,
2,571,66.325,134.275,
3,1097,65.035,152.008,
4,1629,65.818,407.917,
5,2157,66.789,416.810,
6,2687,63.167,414.632,
7,3215,65.537,411.016,
8,3771,66.589,421.140,
9,4313,65.525,409.896,
10,4843,64.634,392.528,
11,5371,65.425,394.910,
12,5902,62.816,358.930,
13,6429,64.620,363.548,
14,6960,65.410,409.157,
15,7489,65.722,142.915,
16,8019,65.199,134.705,
17,8548,67.195,139.072,
18,9078,66.019,136.424,
muestra,t,M 5A,DUT 30A,
2,534,66.248,138.299,
3,1062,65.958,145.294,
4,1597,64.268,420.052,
5,2125,65.394,422.402,
6,2654,65.453,431.845,
7,3218,67.284,425.174,
8,3745,63.175,405.236,
9,4275,64.680,379.061,
10,4804,64.882,406.866,
11,5333,65.292,356.727,
12,5862,66.421,412.223,
13,6390,64.035,443.810,
14,6919,65.061,432.529,
15,7449,65.009,161.205,
16,7978,66.177,137.957,
17,8508,65.165,137.957,
18,9036,67.929,136.789,
muestra,t,M 5A,DUT 30A,
2,533,65.199,138.955,
3,1062,67.677,149.181,
4,1591,66.885,416.507,
5,2121,67.739,420.106,
6,2655,64.646,421.275,
7,3186,67.006,419.789,
8,3714,68.010,368.178,
9,4245,68.792,393.103,
10,4773,66.378,364.308,
11,5304,66.976,387.455,
12,5833,65.785,439.731,
13,6362,70.124,444.780,
14,6891,69.537,427.054,
15,7421,65.366,180.646,
16,7950,69.718,136.115,
17,8480,69.131,137.664,
18,9008,63.782,135.877,
19,9539,65.880,136.353,
muestra,t,M 5A,DUT 30A,
2,533,67.331,141.958,
3,1062,68.415,150.782,
4,1592,64.455,417.888,
5,2120,67.601,433.473,
6,2651,69.320,425.051,
7,3196,67.763,434.699,
8,3737,64.586,430.276,
9,4277,64.538,430.234,
10,4817,66.805,426.690,
11,5356,63.265,396.754,
12,5885,66.657,363.468,
13,6414,68.845,363.833,
14,6943,65.007,421.014,
15,7473,67.360,137.050,
16,8001,63.835,142.643,
17,8531,66.432,136.409,
18,9059,65.347,137.523,
muestra,t,M 5A,DUT 30A,
2,534,66.234,141.639,
3,1064,65.939,149.618,
4,1593,64.322,425.761,
5,2122,64.228,433.151,
6,2651,65.603,427.176,
7,3180,65.242,421.482,
8,3710,65.428,392.271,
9,4244,64.592,400.037,
10,4773,65.330,360.806,
11,5302,66.240,399.915,
12,5832,63.718,392.213,
13,6362,64.840,450.204,
14,6891,63.511,438.190,
15,7422,67.149,171.510,
16,7949,65.925,140.811,
17,8480,64.504,138.229,
18,9006,65.755,145.311,
muestra,t,M 5A,DUT 30A,
2,533,65.962,140.076,
3,1063,65.086,152.962,
4,1591,70.060,438.401,
5,2121,66.466,431.409,
6,2649,65.869,428.541,
7,3179,65.509,425.860,
8,3706,65.136,407.160,
9,4237,64.406,386.719,
10,4766,65.177,397.645,
11,5301,66.120,375.164,
12,5866,66.418,414.398,
13,6395,65.812,460.465,
14,6924,63.238,450.283,
15,7454,66.167,158.055,
16,7983,65.213,139.567,
17,8514,65.014,140.765,
18,9045,65.694,142.347,
muestra,t,M 5A,DUT 30A,
2,533,66.038,139.118,
3,1063,66.700,149.485,
4,1590,66.218,431.265,
5,2120,64.080,432.362,
6,2650,65.202,423.514,
7,3177,66.979,436.167,
8,3708,64.938,421.497,
9,4236,62.176,395.895,
10,4765,64.686,367.220,
11,5294,64.655,384.163,
12,5822,65.159,412.668,
13,6358,64.013,454.787,
14,6888,68.226,447.674,
15,7418,63.652,170.175,
16,7948,63.896,142.935,
17,8477,64.421,146.492,
18,9008,66.172,139.770,
muestra,t,M 5A,DUT 30A,
2,534,65.980,138.534,
3,1063,64.112,146.712,
4,1593,65.343,422.954,
5,2121,66.135,427.222,
6,2653,64.600,436.904,
7,3181,65.580,430.068,
8,3712,64.726,411.417,
9,4241,64.144,387.996,
10,4770,66.307,374.068,
11,5299,65.628,383.433,
12,5829,64.901,432.506,
13,6358,65.599,443.412,
14,6889,64.272,437.527,
15,7422,64.527,167.832,
16,7952,65.170,143.029,
17,8481,65.906,139.886,
18,9010,66.720,140.972,
muestra,t,M 5A,DUT 30A,
2,533,65.427,138.846,
3,1063,65.818,143.838,
4,1592,63.588,430.574,
5,2121,63.724,424.096,
6,2650,62.910,431.755,
7,3180,65.341,429.094,
8,3709,65.503,406.100,
9,4238,68.451,375.716,
10,4767,66.281,395.304,
11,5295,66.379,396.923,
12,5824,65.973,450.226,
13,6354,65.296,446.025,
14,6882,66.049,443.062,
15,7412,64.469,198.978,
16,7941,66.692,142.049,
17,8490,64.716,143.006,
18,9024,68.436,140.883,
muestra,t,M 5A,DUT 30A,
2,539,64.837,138.674,
3,1070,66.072,148.663,
4,1604,65.578,427.427,
5,2134,63.291,438.468,
6,2668,64.676,447.587,
7,3198,65.231,433.451,
8,3731,65.858,429.542,
9,4261,67.002,385.100,
10,4794,63.345,404.161,
11,5325,65.147,410.566,
12,5859,64.656,388.464,
13,6389,66.243,405.572,
14,6923,66.033,457.086,
15,7454,68.111,144.339,
16,7987,66.901,144.534,
17,8519,65.365,142.369,
18,9085,65.758,133.815,
muestra,t,M 5A,DUT 30A,
2,541,67.874,139.868,
3,1072,65.541,155.320,
4,1604,66.007,430.411,
5,2137,68.102,429.290,
6,2669,65.106,429.206,
7,3200,69.210,430.344,
8,3732,65.299,419.866,
9,4264,66.531,412.073,
10,4795,64.420,378.513,
11,5328,63.168,397.523,
12,5859,65.318,409.947,
13,6391,65.068,414.437,
14,6922,64.026,449.280,
15,7455,65.408,144.989,
16,7986,67.615,138.487,
17,8519,65.624,143.139,
18,9050,66.673,137.050,
muestra,t,M 5A,DUT 30A,
2,537,66.067,143.595,
3,1074,64.761,152.728,
4,1604,62.282,418.744,
5,2138,65.891,451.154,
6,2668,66.589,435.005,
7,3202,65.263,436.353,
8,3733,65.816,410.321,
9,4266,65.206,379.446,
10,4796,63.158,367.814,
11,5328,65.995,405.500,
12,5860,65.285,419.418,
13,6392,62.730,449.129,
14,6924,63.785,444.488,
15,7457,65.292,163.404,
16,7988,65.700,145.659,
17,8520,65.992,140.742,
18,9051,66.305,140.534,
muestra,t,M 5A,DUT 30A,
2,538,66.220,140.649,
3,1071,65.597,151.232,
4,1602,65.171,439.141,
5,2139,64.996,435.050,
6,2672,65.703,433.465,
7,3204,66.422,452.059,
8,3737,65.670,417.759,
9,4267,64.610,414.084,
10,4800,65.041,382.198,
11,5331,65.390,404.578,
12,5864,63.558,380.821,
13,6396,66.271,417.860,
14,6927,64.418,445.201,
15,7459,66.233,145.079,
16,7994,67.001,143.933,
17,8524,65.366,140.834,
18,9058,64.880,143.252,
muestra,t,M 5A,DUT 30A,
2,539,66.650,142.460,
3,1071,65.501,145.916,
4,1603,66.276,428.026,
5,2134,66.299,443.523,
6,2665,62.709,434.362,
7,3200,66.968,429.570,
8,3734,65.743,408.418,
9,4264,63.985,383.631,
10,4799,63.749,382.122,
11,5329,67.823,383.193,
12,5862,66.960,438.298,
13,6393,66.126,448.840,
14,6927,65.490,430.219,
15,7457,65.571,159.199,
16,7990,65.582,148.271,
17,8521,67.053,139.375,
18,9055,67.543,139.799,
muestra,t,M 5A,DUT 30A,
2,539,65.447,139.056,
3,1070,63.875,147.804,
4,1602,65.806,433.428,
5,2134,66.955,432.709,
6,2700,65.746,438.416,
7,3231,66.580,434.334,
8,3764,65.195,441.947,
9,4296,63.720,412.014,
10,4834,68.080,394.787,
11,5368,64.524,379.086,
12,5898,67.263,398.314,
13,6431,64.026,396.865,
14,6964,66.778,439.355,
15,7497,66.583,146.624,
16,8029,65.301,141.638,
17,8562,67.101,141.296,
18,9094,65.917,139.886,
muestra,t,M 5A,DUT 30A,
2,538,66.676,140.834,
3,1070,65.118,156.035,
4,1603,66.273,428.988,
5,2135,65.008,435.683,
6,2667,65.288,431.093,
7,3198,67.697,445.443,
8,3731,65.523,443.669,
9,4262,64.926,412.356,
10,4794,66.318,382.181,
11,5327,63.855,378.084,
12,5865,66.083,382.672,
13,6398,66.896,449.049,
14,6931,65.319,442.536,
15,7464,66.325,150.481,
16,7997,65.918,140.860,
17,8529,66.386,141.478,
18,9061,65.032,140.422,
muestra,t,M 5A,DUT 30A,
2,537,65.319,142.620,
3,1070,66.673,151.598,
4,1600,62.131,434.199,
5,2134,65.062,435.035,
6,2664,67.697,435.668,
7,3198,66.088,441.991,
8,3728,67.319,411.198,
9,4261,65.792,375.889,
10,4792,67.709,388.197,
11,5325,65.105,403.864,
12,5856,64.171,440.100,
13,6389,64.517,455.941,
14,6924,66.090,456.672,
15,7457,65.308,187.608,
16,7989,67.151,144.316,
17,8520,67.238,139.723,
18,9054,65.646,140.972,
muestra,t,M 5A,DUT 30A,
2,538,63.888,141.500,
3,1069,66.510,151.577,
4,1603,65.969,439.446,
5,2134,64.085,432.011,
6,2668,64.639,435.547,
7,3198,66.474,443.047,
8,3731,66.667,438.627,
9,4263,66.345,380.386,
10,4796,67.194,414.115,
11,5328,65.861,392.106,
12,5860,63.872,417.145,
13,6391,64.790,412.171,
14,6923,66.735,402.544,
15,7456,67.329,139.677,
16,8005,66.331,141.202,
17,8537,65.651,137.405,
18,9070,66.988,134.609,
muestra,t,M 5A,DUT 30A,
2,537,66.690,137.429,
3,1070,67.182,147.980,
4,1601,66.500,435.311,
5,2132,66.741,434.407,
6,2665,65.974,439.755,
7,3198,64.994,435.423,
8,3728,65.198,396.296,
9,4262,64.630,405.468,
10,4793,65.972,401.640,
11,5361,65.413,380.437,
12,5891,65.699,377.216,
13,6424,66.259,412.337,
14,6954,67.037,453.520,
15,7488,66.228,148.946,
16,8019,67.340,145.815,
17,8551,67.115,140.303,
18,9088,66.019,138.838,
muestra,t,M 5A,DUT 30A,
2,538,66.301,137.310,
3,1069,66.307,146.104,
4,1602,64.701,427.791,
5,2133,65.428,437.801,
6,2665,64.647,439.237,
7,3197,65.903,446.789,
8,3730,66.193,419.512,
9,4262,64.922,435.780,
10,4794,64.968,394.943,
11,5326,66.932,373.941,
12,5857,68.401,403.999,
13,6390,66.844,405.711,
14,6925,66.807,448.515,
15,7456,66.888,142.255,
16,7988,67.075,143.006,
17,8520,66.727,143.346,
18,9051,69.186,140.603,
muestra,t,M 5A,DUT 30A,
2,543,67.896,140.672,
3,1075,65.824,153.420,
4,1607,65.746,431.071,
5,2139,67.130,436.643,
6,2671,64.777,444.590,
7,3204,65.099,421.398,
8,3738,65.858,438.993,
9,4269,63.523,429.963,
10,4801,67.164,394.777,
11,5333,66.933,376.232,
12,5867,65.585,381.825,
13,6399,65.580,402.286,
14,6932,65.809,447.548,
15,7462,67.065,147.673,
16,7994,66.767,144.593,
17,8526,67.757,140.538,
18,9059,65.449,143.933,
muestra,t,M 5A,DUT 30A,
2,540,66.737,141.112,
3,1071,65.492,149.616,
4,1609,66.198,428.314,
5,2141,65.753,432.604,
6,2672,67.844,438.741,
7,3205,65.880,445.705,
8,3737,65.021,429.766,
9,4270,65.463,419.456,
10,4802,64.902,410.645,
